,cuisine,ingredient,name
0,chinese,"['2 tablespoons oyster sauce', '1 tablespoon soy sauce', '2 teaspoons brown sugar', '1 teaspoon potato starch', '1 tablespoon water', '2 pinches salt', '1/4 teaspoon vegetable oil', '4 heads baby bok choy', '3 tablespoons olive oil', '2 tablespoons minced green onion', '1 tablespoon minced garlic', '1 (8 ounce) package sliced portobello mushrooms']",Chinese-Style Baby Bok Choy with Mushroom Sauce
1,chinese,"['1/4 teaspoon salt', '3/4 cup warm water', '1 cup all-purpose flour', '1/4 teaspoon vegetable oil (optional)', '1/4 cup all-purpose flour', '1 tablespoon vegetable oil', '1 tablespoon Asian (toasted) sesame oil, or as needed', '1/2 cup finely chopped green onion', '1 tablespoon vegetable oil, or as needed']",Pan-Fried Chinese Pancakes
2,chinese,"['1 pound ground pork', '1 egg', '1 tablespoon cornstarch', '2 teaspoons sesame oil', '1 tablespoon minced fresh ginger root', '1/4 teaspoon monosodium glutamate (MSG) (optional)', '1 teaspoon salt', '2 green onions, chopped and divided', '1 tablespoon vegetable oil', '1 head napa cabbage, cored and cut into chunks', '2 cups low-sodium chicken broth', '2 cups water, or as needed', '1 tablespoon soy sauce', '2 teaspoons sesame oil']",Chinese Lion's Head Soup
3,chinese,"['100 (3.5 inch square) wonton wrappers', '1 3/4 pounds ground pork', '1 tablespoon minced fresh ginger root', '4 cloves garlic, minced', '2 tablespoons thinly sliced green onion', '4 tablespoons soy sauce', '3 tablespoons sesame oil', '1 egg, beaten', '5 cups finely shredded Chinese cabbage']",Pork Dumplings
4,chinese,"['3 tablespoons hoisin sauce', '1 tablespoon ketchup', '1 tablespoon honey', '1 tablespoon soy sauce', '1 tablespoon sake', '1 teaspoon rice vinegar', '1 teaspoon lemon juice', '1 teaspoon grated fresh ginger', '1/2 teaspoon grated fresh garlic', '1/4 teaspoon Chinese five-spice powder', '1 pound pork spareribs']",Chinese Spareribs
5,chinese,"['1 (8 ounce) can pineapple chunks, drained (juice reserved)', '1/4 cup cornstarch', '1 3/4 cups water, divided', '3/4 cup white sugar', '1/2 cup distilled white vinegar', '2 drops orange food color', '8 skinless, boneless chicken breast halves - cut into 1 inch cubes', '2 1/4 cups self-rising flour', '2 tablespoons vegetable oil', '2 tablespoons cornstarch', '1/2 teaspoon salt', '1/4 teaspoon ground white pepper', '1 egg', '1 1/2 cups water', '1 quart vegetable oil for frying', '2 green bell pepper, cut into 1 inch pieces']",Sweet and Sour Chicken I
6,chinese,"['2 1 1/2-inch-thick New York strip steaks, cut into 1-inch pieces', '2 teaspoons dried minced onion', '1/4 teaspoon minced garlic', '1 tablespoon soy sauce (optional)', '2 cups white rice', '4 cups water', '2 tablespoons vegetable oil', '1/2 cup canned sliced bamboo shoots, drained', '1/2 cup canned sliced mushrooms, drained (optional)', '1/4 cup chopped green onion', '1/2 green bell pepper, thinly sliced', '1/2 teaspoon red pepper flakes (optional)', '3 tablespoons soy sauce', '1 cup broccoli florets', '1/4 cup sugar snap peas (optional)', '2 teaspoons cornstarch', '2 tablespoons water', '1/2 (10 fluid ounce) bottle oyster sauce', '1/4 cup chopped green onion']",Fun Karnal (Beef and Broccoli)
7,chinese,"['1 cup vegetable oil', '13 pounds fresh green beans, trimmed', '5 tablespoons minced garlic', '5 tablespoons minced fresh ginger root', '2 tablespoons kosher salt', '1 tablespoon coarsely ground black pepper', '2 (8 ounce) bottles black bean sauce']",Chinese Green Bean Stir-Fry
8,chinese,"['1 cup water', '2/3 cup white sugar', '1/2 cup walnuts', '4 egg whites', '2/3 cup mochiko (glutinous rice flour)', '1/4 cup mayonnaise', '1 pound large shrimp, peeled and deveined', '2 tablespoons honey', '1 tablespoon canned sweetened condensed milk', '1 cup vegetable oil for frying']",Honey Walnut Shrimp
9,chinese,"['4 tablespoons water', '2 tablespoons ketchup', '1 tablespoon soy sauce', '2 teaspoons cornstarch', '1 teaspoon honey', '1/2 teaspoon crushed red pepper', '1/4 teaspoon ground ginger', '1 tablespoon vegetable oil', '1/4 cup sliced green onions', '4 cloves garlic, minced', '12 ounces cooked shrimp, tails removed']",Szechwan Shrimp
